[2024-04-10T19:43:26.323+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-10T19:40:33.743512+00:00 [queued]>
[2024-04-10T19:43:26.345+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-10T19:40:33.743512+00:00 [queued]>
[2024-04-10T19:43:26.350+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-10T19:43:26.378+0000] {taskinstance.py:2217} INFO - Executing <Task(PythonOperator): convert_bill_files> on 2024-04-10 19:40:33.743512+00:00
[2024-04-10T19:43:26.431+0000] {standard_task_runner.py:60} INFO - Started process 914 to run task
[2024-04-10T19:43:26.438+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'upload_congress_data', 'convert_bill_files', 'manual__2024-04-10T19:40:33.743512+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/upload_congress_data.py', '--cfg-path', '/tmp/tmpgbq_3ypb']
[2024-04-10T19:43:26.498+0000] {standard_task_runner.py:88} INFO - Job 23: Subtask convert_bill_files
[2024-04-10T19:43:26.752+0000] {task_command.py:423} INFO - Running <TaskInstance: upload_congress_data.convert_bill_files manual__2024-04-10T19:40:33.743512+00:00 [running]> on host 3ad97e665188
[2024-04-10T19:43:26.988+0000] {taskinstance.py:2513} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='upload_congress_data' AIRFLOW_CTX_TASK_ID='convert_bill_files' AIRFLOW_CTX_EXECUTION_DATE='2024-04-10T19:40:33.743512+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-10T19:40:33.743512+00:00'
[2024-04-10T19:43:27.122+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres39.json
[2024-04-10T19:43:27.155+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres7.json
[2024-04-10T19:43:27.195+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres88.json
[2024-04-10T19:43:27.243+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres74.json
[2024-04-10T19:43:27.302+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres70.json
[2024-04-10T19:43:27.313+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres71.json
[2024-04-10T19:43:27.329+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres98.json
[2024-04-10T19:43:27.357+0000] {logging_mixin.py:188} INFO - Converted /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.xml to /opt/***/dags/data/hjres/BILLSTATUS-118hjres42.json
